titulo,precio,ubicacion,dorm,ban,sup
"b'Nva Cba,  Bs Ai'",U$S 110.000, Nueva Córdoba ,2,2,sin datos
b'VENDO DEPTO 1 D',U$S 104.000, Nueva Córdoba ,1,1,sin datos
b'VENDO Nva Cba M',U$S 46.000, Nueva Córdoba ,1,1,44
b'Departamento 1 ',U$S 36.000, Centro ,1,1,44
b'Alto Verde- Ven',U$S 110.000, Alto Verde ,3,3,sin datos
b'\xc2\xa1GRAL PAZ A ES',U$S 60.000, General Paz ,1,1,43
b'VENDO- 2DORM C ',U$S 95.000, General Paz ,2,2,70
b'CENTRO CIVICO',U$S 125.000, General Paz ,2,2,sin datos
b'DUPLEX EN VENTA',U$S 95.000, Jardines del Olmo ,3,2,180
b'Precioso D\xc3\xbaple',U$S 149.000, Manantiales ,3,3,sin datos
"b'Nva Cba,  Pered'",U$S 44.900, Nueva Córdoba ,1,1,37
b'B\xc2\xba JUNIORS- PH',U$S 65.000, Juniors ,3,2,sin datos
b'B\xc2\xba CENTRO- DEP',U$S 38.000, Centro ,1,1,sin datos
b'B\xc2\xbaURCA- HERMOS',U$S 120.000, Urca ,3,3,sin datos
b'OPORTUNIDAD EN ',U$S 90.000, Solares de Manantiales ,3,2,sin datos
b'A ESTRENAR Pose',U$S 70.000, Nueva Córdoba ,1,1,40
b'VILLA BELGRANO-',U$S 250.000, Villa Belgrano ,3,2,sin datos
b'AMPLIOS DEPTOS ',U$S 75.000, Nueva Córdoba ,2,1,sin datos
b'Se VENDE hermos',U$S 107.500, Manantiales ,3,3,sin datos
b'B\xc2\xb0 Centro 2 / ',U$S 68.000, Centro ,3,2,sin datos
b'MIRADORES DE MA',U$S 108.500, Manantiales ,3,3,sin datos
b'ALBERDI- AV COL',U$S 26.000, Alberdi ,1,1,40
b'\xe2\x98\x85Imperdible\xe2\x98',U$S 90.000, Manantiales ,2,2,129
b'HERMOSO DPTO 2 ',U$S 60.000, Alberdi ,2,2,70
b'AVDA DUARTE QUI',U$S 95.000, Alberdi ,1,1,sin datos
b'Departamento a ',U$S 110.000, Nueva Córdoba ,2,1,sin datos
b'D\xc3\x9aPLEX DE CATE',U$S 135.000, Nuevo Poeta Lugones ,3,3,149
b'B\xc2\xb0 JUNIORS Dep',U$S 23.000, Juniors ,1,1,sin datos
"b'PB,  1 DORMITOR'",U$S 102.000, Nueva Córdoba ,1,1,47
b'VENDO EXCELNTE ',U$S 57.086, General Paz ,1,1,sin datos
b'Venta Departame',U$S 145.000, Terrazas de Ohiggins ,2,2,76
b'IMPERDIBLE DPTO',U$S 50.000, General Paz ,1,1,sin datos
