titulo,precio,ubicacion,dorm,ban,sup
b'PRADOS DE MANAN',U$S 89.700, Manantiales ,3,2,sin datos
b'Venta- D\xc3\xbaplex ',U$S 125.000, Manantiales ,3,3,sin datos
b'DPTO EN VENTA |',U$S 110.000, Nueva Córdoba ,1,1,sin datos
b'VENTA 2 D BARRI',U$S 110.000, General Paz ,2,1,65
b'Departamento 1 ',U$S 55.000, San Fernando ,1,1,sin datos
b'Nueva C\xc3\xb3rdoba-',U$S 65.000, Nueva Córdoba ,2,1,sin datos
b'Ctro. Semipiso ',U$S 120.000, Centro ,2,2,120
b'DEPARTAMENTO EN',U$S 79.900, General Paz ,2,2,sin datos
b'DUPLEX VENTA BA',U$S 68.000, Matienzo ,3,2,sin datos
b'Vta Dpto Alta C',U$S 40.000, Alta Córdoba ,2,1,60
b'GRAL.PAZ-LIMA D',U$S 63.000, General Paz ,1,1,sin datos
b'DUPLEX EN VENTA',U$S 135.000,sin ubicacion,3,3,sin datos
b'Nueva C\xc3\xb3rdoba ',U$S 78.000, Nueva Córdoba ,1,1,sin datos
b'VENTA DEPARTAME',U$S 48.000, Quebrada de las Rosas ,1,1,55
b'Departamento do',U$S 39.000, Cofico ,2,1,sin datos
b'DEPARTAMENTO EN',U$S 36.200, Alta Córdoba ,1,1,40
b'*OPORTUNIDAD*- ',U$S 55.000, Alta Córdoba ,2,1,sin datos
b'HOUSING DE MIRA',U$S 73.500,sin ubicacion,3,2,sin datos
b'DUPLEX LOMAS DE',U$S 150.000, Manantiales ,3,3,sin datos
b'Un dormitorio y',U$S 85.000, Nueva Córdoba ,2,1,sin datos
b'VENTA DEPARTAME',U$S 140.000, General Paz ,2,2,sin datos
b'Hermoso Departa',U$S 45.000, General Paz ,1,1,sin datos
b'Depto 2 dorm c ',U$S 140.000, Fontanas del Sur ,2,2,90
b'ALBERDI Dpto. 1',U$S 42.000, Alberdi ,1,1,43
"b'1 DOR,  MUY BUE'",U$S 81.000, Nueva Córdoba ,1,1,45
b'B\xc2\xbaJUNIORS- ARE',U$S 49.900, Juniors ,2,2,sin datos
b'B\xc2\xba GRAL. PAZ- ',U$S 140.000, General Paz ,2,2,sin datos
b'ALBERDI- COL\xc3\x93N',U$S 27.000, Alberdi ,1,1,sin datos
b'B\xc2\xb0 VILLA ARGEN',U$S 38.000, Villa Argentina ,2,2,sin datos
b'EXCELENTE OPORT',U$S 35.000, Alberdi ,1,1,sin datos
b'Depsal XIX con ',U$S 59.500, Nueva Córdoba ,1,1,40
b'Betania Bouleva',consultar, Nueva Córdoba ,1,1,52
b'Centro. Corro 4',U$S 51.000,sin ubicacion,1,1,45
b'SE VENDE HERMOS',U$S 140.000, Nueva Córdoba ,2,1,sin datos
b'DEPARTAMENTO IN',U$S 27.000, Las Flores ,2,1,67
b'DEPARTAMENTO EN',U$S 106.000, Nueva Córdoba ,1,1,sin datos
b'Departamento en',U$S 170.000, Nueva Córdoba ,3,2,sin datos
b'departamento ve',U$S 85.000, Centro ,2,1,sin datos
b'TULUM / MEXICO ',U$S 160.000, Centro ,1,1,sin datos
b'-DPTO EN VENTA ',U$S 78.000, General Paz ,2,2,sin datos
b'DPTO EN VENTA |',U$S 54.000, General Paz ,1,1,sin datos
b'DPTO EN VENTA- ',U$S 60.000, Nueva Córdoba ,1,1,sin datos
b'DOCTA 3dor 3ba\xc3',U$S 95.000, Docta Urbanización Inteligente ,3,3,sin datos
b'EXCELENTE DEPTO',U$S 63.000, Nueva Córdoba ,2,1,sin datos
b'DPTO- DOS HABIT',U$S 54.000, Centro ,2,1,sin datos
b'Duplex en Mirad',U$S 115.000, Miradores de Manantiales ,3,2,sin datos
b'Departamento 2 ',U$S 57.000, Centro ,2,1,sin datos
b'Departamento 1 ',U$S 49.000, Centro ,1,1,sin datos
b'Departamento en',U$S 85.000, Centro ,2,sin datos,sin datos
b'Venta depto. en',U$S 51.000, Pueyrredon ,1,1,59
b'DEPARTAMENTO 2 ',U$S 50.000, Centro ,Monoambiente,2,105
b'DOCTA DUPLEX EN',U$S 80.000, Otro ,2,1,sin datos
b'CASA / DUPLEX A',U$S 149.000, Nuevo Poeta Lugones ,3,3,sin datos
"b'Pueyrredon,  A '",U$S 33.000, Pueyrredon ,1,1,sin datos
b'Chateau Harmoni',U$S 134.538, Chateau Carreras ,2,2,sin datos
b'IMPECABLE- ESCR',U$S 105.000, General Paz ,2,1,sin datos
b'Chateau Harmoni',U$S 90.655, Chateau Carreras ,1,1,sin datos
b'COFICO- A estre',U$S 73.000, Cofico ,2,1,sin datos
b'Duplex a estren',U$S 115.000, San Ignacio ,3,2,sin datos
b'Duplex Premium.',U$S 185.000, Jardín Espinosa ,3,3,sin datos
b'Dpto. 1 Dor. y ',U$S 68.000, Nueva Córdoba ,1,2,64
b'Zona Nva Cba  /',U$S 55.000, Nueva Córdoba ,1,1,sin datos
b'Departamento Ce',U$S 35.000, Nueva Córdoba ,1,1,sin datos
b'DPTO EN VTA 2 D',U$S 63.000, Alberdi ,2,2,sin datos
b'DOS DUPLEX EN V',U$S 47.000, Residencial America ,1,1,sin datos
b'2D PILARES DE M',U$S 79.900, Manantiales ,2,1,sin datos
b'D\xc3\x9aPLEX 3 DORMI',U$S 140.000, San José ,3,2,sin datos
b'cordoba departa',U$S 95.000, Centro ,3,2,85
b'EXCELENTE DEPAR',U$S 35.900, Alto Alberdi ,1,1,45
b'Departamento 1 ',U$S 39.000, Pueyrredon ,1,sin datos,41
b'Venta Fructoso ',U$S 65.000, Nueva Córdoba ,1,1,sin datos
b'El departamento',U$S 23.000, Pueyrredon ,2,1,sin datos
b'PISO 13 CON LA ',U$S 70.000, Nueva Córdoba ,1,1,sin datos
b'A METROS DE CIU',U$S 69.000, Nueva Córdoba ,1,1,sin datos
b'ULTIMA UNIDAD D',U$S 260.000, Valle Escondido ,3,3,sin datos
b'D\xc3\xbaplex a Estre',U$S 185.000, Cañuelas Chicos ,3,3,sin datos
b'DEPTO de CATEGO',U$S 207.000, General Paz ,2,2,sin datos
b'Departamento Ve',U$S 70.000, Nueva Córdoba ,1,1,48
b'2 DORMITORIOS P',U$S 135.000, Nueva Córdoba ,2,2,55
b'VENDO DEPTO 1 D',U$S 75.000, Nueva Córdoba ,1,1,sin datos
b'EXCELENTE OPORT',U$S 55.000, Nueva Córdoba ,1,1,45
b'VENDO DEPTO A E',U$S 49.000, Nueva Córdoba ,1,1,sin datos
b'Dpto 1 Dorm- EN',U$S 32.000, Centro ,1,1,sin datos
b'Vendo Depto 2 D',U$S 65.000, Cofico ,2,2,sin datos
b'Timb\xc3\xb3 MDZ- Pos',U$S 43.000, Cofico ,1,1,sin datos
b'Chacra del Nort',U$S 175.000, Chacra del Norte ,3,3,sin datos
b'Terrazas de O\xc2\xb4',U$S 200.000, Jardín Espinosa ,3,2,sin datos
b'B\xc2\xb0GRAL PAZ-LIM',U$S 110.000, General Paz ,3,2,sin datos
b'B\xc2\xba GENERAL PAZ',U$S 55.000, General Paz ,1,1,sin datos
b'B\xc2\xb0GRAL PAZ ESQ',U$S 68.000, General Paz ,2,1,sin datos
b'B\xc2\xba JUNIORS- DE',U$S 35.000, Juniors ,1,1,sin datos
b'B\xc2\xba LAS PALMAS-',U$S 51.000, Las Palmas ,2,1,sin datos
b'B\xc2\xba PUEYRRED\xc3\x93N',U$S 34.000, Amp. Pueyrredón ,1,1,sin datos
b'B\xc2\xb0 ALBERDI- DE',U$S 130.000, Alberdi ,3,2,sin datos
b'OPORTUNIDAD VEN',U$S 70.000, Centro ,2,1,sin datos
b'VENTA 1 DORMITO',U$S 83.000, Nueva Córdoba ,1,1,sin datos
b'Categor\xc3\xada 3 Do',U$S 273.000, Villa Belgrano ,3,3,143
"b'G\xc3\xbcemes,  depar'",U$S 98.000, Guemes ,3,1,sin datos
"b'General Paz,  d'",U$S 130.000, General Paz ,2,2,sin datos
"b'Centro,  tribun'",U$S 120.000, Centro ,2,2,sin datos
b'CENTRO- ZONA PA',U$S 160.000, Centro ,3,2,sin datos
b'GREEN VILLE 2- ',U$S 140.000, Greenville 2 ,2,2,112
b'DUPLEX 3 DORM F',U$S 185.000, Greenville 2 ,3,3,sin datos
b'PRADOS DE MANAN',U$S 140.000, Manantiales ,3,3,180
b'APTO BANCOR- MU',U$S 36.000, Alberdi ,1,1,sin datos
b'VENDO MUY LINDO',U$S 59.000, Nueva Córdoba ,1,1,sin datos
b'OPORTUNIDAD DE ',U$S 22.000, Panamericano ,1,sin datos,sin datos
b'Dos Dorm.Ob. Sa',U$S 128.000, Nueva Córdoba ,2,2,90
b'Santa Rosa 1600',U$S 35.000, Alberdi ,1,1,40
b'Santa Rosa 1645',U$S 43.000, Alberdi ,1,1,40
b'Alberdi. 1 Dorm',U$S 46.000, Alberdi ,1,1,45
b'1 Dorm. A Mts. ',U$S 41.000, Providencia ,1,1,45
b'A Mts. de Ca\xc3\xb1a',U$S 61.000, Centro ,1,1,45
b'Alta C\xc3\xb3rdoba! ',U$S 57.000, Alta Córdoba ,1,1,43
b'Duarte Quiros 9',U$S 56.000, Centro ,1,1,45
b'VENTA- 1 dormit',U$S 94.000, Otro ,1,1,sin datos
b'VENTA- 1 dormit',U$S 53.000, Centro ,1,1,sin datos
b'Duplex San Igna',U$S 93.000, San Ignacio ,3,2,sin datos
b'Las Palmas 3 do',U$S 80.000, Las Palmas ,3,1,sin datos
b'2Dor Nva Cba co',U$S 106.000, Nueva Córdoba ,2,2,76
b'Nva Cba con Ame',U$S 62.000, Nueva Córdoba ,1,sin datos,42
b'\xc2\xa11Dor en la Me',U$S 60.000, Nueva Córdoba ,1,1,42
b'IMPERDIBLE Vent',U$S 16.000, Alto Alberdi ,Monoambiente,1,27
b'Venta Departame',U$S 39.900, Providencia ,1,1,45
b'DEPTO 2 DORM EN',U$S 62.000, General Paz ,2,1,sin datos
b'DEPTO 2 DORM EN',U$S 105.000, Cerro de las Rosas ,2,2,sin datos
b'VENTA DEPARTAME',U$S 57.000, Centro ,1,1,sin datos
b'VENTA DUPLEX 2 ',U$S 137.000, Nueva Córdoba ,2,2,sin datos
b'VENTA DE DUPLEX',U$S 185.000, Greenville 2 ,3,3,sin datos
b'JB SRUR Vende D',U$S 65.000, Villa Urquiza ,1,1,sin datos
b'Departamento en',U$S 30.000, Alberdi ,1,1,sin datos
b'EDIF PARCO VENT',U$S 147.600, Jardín Espinosa ,2,sin datos,sin datos
b'VENDO DUPLEX EN',U$S 88.000, Manantiales ,2,sin datos,80
b'VENTA DPTO 1DOR',U$S 65.000, Alberdi ,2,sin datos,sin datos
b'VENTA DPTO 1 DO',U$S 50.000, Nueva Córdoba ,1,sin datos,sin datos
b'VENTA DEPTO 1DO',U$S 57.000, Centro ,1,sin datos,sin datos
b'Dpto. *Terrazas',U$S 49.000, San Martin Norte ,1,1,sin datos
b'B\xc2\xb0 Gral. Paz 1',U$S 63.000, General Paz ,1,1,sin datos
b'Venta- 1 dormit',U$S 60.000, Docta Urbanización Inteligente ,1,1,sin datos
b'Departamento De',U$S 430.000, Chateau Carreras ,3,3,sin datos
b'IDEAL INVERSION',U$S 37.900, Centro ,1,1,sin datos
"b'Green Park,  Va'",U$S 265.000, Valle Escondido ,3,2,245
b'Nueva C\xc3\xb3rdoba ',U$S 65.500, Nueva Córdoba ,1,1,42
b'Nueva C\xc3\xb3rdoba ',U$S 66.000, Nueva Córdoba ,1,1,42
b'Obispo trejo 12',U$S 63.000, Nueva Córdoba ,1,1,43
b'Obispo trejo 12',U$S 81.000, Nueva Córdoba ,1,1,53
b'Un dormitorio c',U$S 89.000, Nueva Córdoba ,1,1,sin datos
b'2 dormitorios 2',U$S 130.000, Nueva Córdoba ,2,2,94
b'Obispo Trejo 12',U$S 85.000, Nueva Córdoba ,1,1,72
b'Dos dormitorios',U$S 115.000, Nueva Córdoba ,2,1,94
b'Obispo trejo 12',U$S 110.000, Nueva Córdoba ,2,1,79
b'Departamento gr',U$S 75.000, Alberdi ,3,2,97
b'SE VENDE DPTO D',U$S 123.000, General Paz ,1,1,sin datos
b'DEPTO- AV. PATR',U$S 57.000, General Paz ,3,1,70
b'DPTO EN VENTA- ',U$S 29.500, Alto Alberdi ,1,1,40
"b'LOFT con patio,'",U$S 72.300, General Paz ,1,1,sin datos
b'1 dorm. +cocher',U$S 50.000, Nueva Córdoba ,1,1,43
b'DUPLEX VENTA LO',U$S 79.800, Lomas del Suquía ,2,2,sin datos
b'VENTA \xc2\xb7 DEPART',U$S 65.000, Nueva Córdoba ,1,1,44
b'VENTA \xc2\xb7 Depart',U$S 35.000, Alta Córdoba ,1,1,35
b'VENTA \xc2\xb7 DEPART',U$S 42.000, General Paz ,1,1,40
b'VENTA \xc2\xb7 DEPART',U$S 35.000, Alta Córdoba ,1,1,40
b'TerraForte 2 \xe2\x80',U$S 46.500, Quebrada de las Rosas ,1,1,sin datos
b'Nueva C\xc3\xb3rdoba ',U$S 55.000, Nueva Córdoba ,1,1,sin datos
b'BETANIA PLAZA 1',U$S 76.000, Nueva Córdoba ,1,1,45
b'DEPTO ALTO BELG',U$S 139.000, Villa Belgrano ,2,2,220
b'DEPTO ALTO BELG',U$S 55.600, Villa Belgrano ,2,2,220
b'DEPTO ALTO BELG',U$S 68.000, Villa Belgrano ,3,3,177
b'DEPTO ALTO BELG',U$S 170.000, Villa Belgrano ,3,3,177
b'VENTA 2 DORMITO',U$S 130.000, Centro ,2,1,sin datos
b'VTA. 2 DORMITOR',U$S 130.000, Centro ,2,1,sin datos
b'Exclusivo dpto ',U$S 55.000, Las Palmas ,1,1,48
b'VENTA!!! Alto A',U$S 36.000, Alto Alberdi ,1,1,sin datos
b'VENTA!!! B\xc2\xb0 Pu',U$S 30.000, Pueyrredon ,1,1,sin datos
b'Vendo Departame',U$S 69.500, Nueva Córdoba ,1,1,sin datos
b'DEPARTAMENTO EN',U$S 45.000, Alberdi ,1,1,sin datos
b'El Departamento',U$S 54.000, General Paz ,1,1,sin datos
b'Vdo importantes',U$S 64.000, Nueva Córdoba ,1,sin datos,48
"b'OPORT!! 1 dorm,'",U$S 56.000, General Paz ,1,1,43
b'Depto 1 dorm. C',U$S 49.000, Centro ,1,1,sin datos
b'D\xc3\xbaplex en Vent',U$S 85.000, San Ignacio ,2,1,sin datos
b'LOFT A ESTRENAR',U$S 85.000, Nueva Córdoba ,Monoambiente,1,50
b'VENTA A ESTRENA',U$S 55.000, General Paz ,1,1,sin datos
b'VENDO DEPTO 1 D',U$S 75.000, Nueva Córdoba ,2,1,sin datos
b'Ituzaingo 618. ',U$S 109.000, Nueva Córdoba ,2,2,70
"b'B Gral Paz,  Du'",U$S 120.000, General Paz ,1,1,sin datos
"b'B Alta Cordoba,'",U$S 34.000, Alta Córdoba ,1,1,sin datos
b'Vende Casa 3 do',U$S 165.000, Cañuelas ,3,3,sin datos
b'Departamento- 2',U$S 70.000, Centro ,2,2,75
b'B\xc2\xba CENTRO- Dep',U$S 55.000, Centro ,1,1,44
b'B\xc2\xbaGRAL PAZ- SO',U$S 62.000, General Paz ,1,2,sin datos
b'B\xc2\xb0 GRAL PAZ  /',U$S 48.000, General Paz ,1,1,45
b'B\xc2\xb0 CENTRO  /  ',U$S 50.000, Centro ,3,1,sin datos
b'B\xc2\xb0 GENERAL PAZ',U$S 100.000, General Paz ,2,2,80
b'B\xc2\xb0 GRAL PAZ  /',U$S 60.000, General Paz ,2,1,58
b'CENTRO- SANTA R',U$S 75.000, Centro ,2,2,sin datos
b'B\xc2\xb0 ALTO GENERA',U$S 67.000, Pueyrredon ,3,1,60
b'B\xc2\xb0 PUEYRREDON-',U$S 38.000, Amp. Pueyrredón ,2,1,sin datos
b'B\xc2\xb0 Pueyrred\xc3\xb3n',U$S 37.000, Amp. Pueyrredón ,1,1,sin datos
"b'B\xc2\xb0 GRAL PAZ,  '",U$S 54.000, General Paz ,2,1,sin datos
b'CENTRO- BUENOS ',U$S 100.000, Centro ,3,2,90
b'B\xc2\xb0 GENERAL PAZ',U$S 110.000, General Paz ,2,2,sin datos
b'Departamento 1 ',U$S 37.000, Amp. Pueyrredón ,1,1,sin datos
b'B\xc2\xba CENTRO- DEP',U$S 75.000, Centro ,3,1,sin datos
"b'B\xc2\xba Cofico,  Pi'",U$S 250.000, Cofico ,3,3,170
b'Rodas Lugones D',consultar, Nueva Córdoba ,2,2,95
b'FONTANAS DEL SU',consultar, Tejas 1 ,2,3,115
b'DEPARTAMENTO EN',U$S 18.500, Observatorio ,1,1,sin datos
b'DEPARTAMENTO M\xc3',U$S 52.000, Las Palmas ,2,1,sin datos
b'Externo con Ame',U$S 62.000, Nueva Córdoba ,1,1,43
b'EXCELENTE DUPLE',U$S 110.000,sin ubicacion,3,2,sin datos
b'Nva. Cba. 1 dor',U$S 49.000, Nueva Córdoba ,1,1,55
b'Gral Paz. Av 24',U$S 65.000, General Paz ,1,1,45
b'B\xc2\xba Providencia',U$S 38.000, Providencia ,1,1,40
b'Gral. Paz. 2 Do',U$S 79.000, General Paz ,2,2,75
b'Centro! Monoamb',U$S 45.000, Centro ,Monoambiente,1,30
b'VENTA- 1 dormit',U$S 35.000, Alberdi ,1,1,sin datos
b'VENTA- 1 dormit',U$S 38.000, Alberdi ,1,1,sin datos
b'Bv Ocampo- Edif',U$S 135.000, General Paz ,2,2,sin datos
b'SOLARES DE MANA',U$S 89.000, Manantiales ,3,2,sin datos
b'HERMOSO DUPLEX ',U$S 115.000, Docta Urbanización Inteligente ,3,3,sin datos
b'Venta depto. 1 ',U$S 49.000, General Paz ,1,1,42
b'Venta Depto 1D ',U$S 37.500, Alto Alberdi ,1,1,40
b'DEPTO EN VENTA ',U$S 68.000, Centro ,2,1,sin datos
b'Centro- Venta C',U$S 40.000, Centro ,2,2,sin datos
b'Departamento a ',U$S 75.000, Nueva Córdoba ,1,1,sin datos
b'DEPARTAMENTO EN',U$S 110.000, Jardín Claret ,1,1,sin datos
b'Departamento en',U$S 43.000, General Paz ,1,1,sin datos
b'Duplex venta Lo',U$S 130.000, Manantiales ,2,2,sin datos
b'B\xc2\xb0 Gral. Paz *',consultar, General Paz ,2,2,sin datos
b'Duplex en Prado',U$S 140.000, Manantiales ,3,sin datos,sin datos
b'Gran depto. en ',U$S 150.000, Nueva Córdoba ,2,2,sin datos
b'Departamento de',U$S 38.500, General Paz ,1,1,sin datos
b'Micro-Centro SE',U$S 76.000, Centro ,2,2,90
b'DUPLEX EN VENTA',U$S 140.000,sin ubicacion,3,3,sin datos
b'9 de Julio a me',U$S 61.000, Alberdi ,1,1,sin datos
b'Duplex en Claro',U$S 145.000, Claros del Bosque ,3,3,sin datos
b'Un dormitorio g',U$S 76.000, Nueva Córdoba ,1,1,61
b'Torre Reggia 06',consultar, Nueva Córdoba ,1,1,67
b'VENTA- 2 dormit',U$S 50.000, Observatorio ,1,1,sin datos
b'Nueva C\xc3\xb3rdoba ',U$S 111.700, Nueva Córdoba ,2,2,89
b'Dos dormitorios',U$S 108.000, Nueva Córdoba ,2,2,76
b'Tr\xc3\xa1nsito C\xc3\xa1ce',U$S 62.000, Nueva Córdoba ,1,1,45
b'Nueva C\xc3\xb3rdoba ',U$S 107.200, Nueva Córdoba ,2,2,89
b'Nueva C\xc3\xb3rdoba ',consultar, Nueva Córdoba ,1,1,45
b'Nueva C\xc3\xb3rdoba ',U$S 250.000, Nueva Córdoba ,2,2,sin datos
b'Nueva C\xc3\xb3rdoba ',U$S 150.000, Nueva Córdoba ,1,2,64
b'Nueva C\xc3\xb3rdoba ',U$S 175.000, Nueva Córdoba ,2,2,86
b'Nueva C\xc3\xb3rdoba ',consultar, Nueva Córdoba ,2,2,74
b'Nueva C\xc3\xb3rdoba ',consultar, Nueva Córdoba ,2,2,sin datos
b'Nueva C\xc3\xb3rdoba ',U$S 171.500, Nueva Córdoba ,1,2,70
b'Nueva C\xc3\xb3rdoba ',U$S 131.470, Nueva Córdoba ,2,2,65
b'Nueva C\xc3\xb3rdoba ',U$S 153.300, Nueva Córdoba ,2,2,61
b'Nueva C\xc3\xb3rdoba ',U$S 113.857, Nueva Córdoba ,2,2,65
b'Nueva C\xc3\xb3rdoba ',U$S 130.900, Nueva Córdoba ,2,2,61
b'Centro Corrient',U$S 82.300, Centro ,2,2,66
b'Centro Corrient',U$S 48.450, Centro ,1,1,42
b'CENTRO MARIANO ',U$S 28.000, Centro ,1,1,40
b'Centro Corrient',U$S 48.450, Centro ,1,1,42
b'VALLE ESCONDIDO',U$S 240.000, Valle Escondido ,3,3,sin datos
b'DUPLEX VENTA LA',U$S 84.900, La Catalina ,3,2,sin datos
b'DPTO ESTRENAR- ',U$S 70.000, Nueva Córdoba ,1,1,47
b'DERQUI ESQ CHAC',U$S 65.000, Nueva Córdoba ,1,1,40
b'BETANIA PLAZA A',U$S 81.500, Nueva Córdoba ,1,1,50
b'DEPARTAMENTO TI',U$S 110.000, Nueva Córdoba ,2,3,80
b'L\xc3\xadquido x viaj',U$S 33.000, San Martin ,1,1,42
b'VTA. DEPTO- EST',U$S 400.000, Nueva Córdoba ,3,4,sin datos
b'VTA.- 1 DORMITO',U$S 56.000, Centro ,1,1,45
b'VENDO A ESTRENA',U$S 70.000, Nueva Córdoba ,1,1,42
b'VENDO DEPARTAME',U$S 27.000, San Vicente ,1,1,sin datos
b'Departamento en',U$S 38.000, Cofico ,1,1,sin datos
b'Venta Duplex Va',U$S 60.000, Valle Cercano ,3,2,sin datos
b'Venta Derqui 41',U$S 155.000, Nueva Córdoba ,2,2,sin datos
b'Se DUE\xc3\x91O! se V',U$S 73.000, Docta Urbanización Inteligente ,2,sin datos,sin datos
b'HERMOSO Y COMOD',U$S 35.000, Alberdi ,1,1,sin datos
b'Venta Depto 1 d',U$S 27.000, Centro ,1,1,33
b'COMPR\xc3\x81 TU DUPL',U$S 90.000, Manantiales ,2,2,sin datos
b'VENTA Departame',U$S 31.000, Providencia ,1,1,33
b'La oportunidad ',U$S 89.000, Docta Urbanización Inteligente ,3,2,sin datos
b'Departamento 1 ',U$S 27.000, Alto Alberdi ,1,1,38
b'OPORTUNIDAD DE ',U$S 34.000, General Paz ,1,1,sin datos
b'INVERTI EN ALTO',U$S 110.000, Altos de Villa Sol ,3,2,sin datos
b'SEMI PISO RECIC',U$S 110.000, Nueva Córdoba ,3,2,sin datos
b'D\xc3\xbaplex DE CATE',U$S 165.000, Tejas 1 ,3,3,sin datos
b'Casonas del Sur',U$S 230.000, Jardín Espinosa ,3,2,sin datos
b'VENTA Departame',U$S 180.000, Obrero ,3,2,sin datos
b'Housing Jardin ',U$S 92.000, Jardín Espinosa ,2,2,sin datos
"b'2 DOR,  CON PIL'",U$S 132.500, Nueva Córdoba ,2,2,68
"b'1 DOR AMPLIO,  '",U$S 55.000, Nueva Córdoba ,1,1,45
b'CASONAS DE MANA',U$S 75.000, Manantiales ,1,1,55
b'ALTA CORDOBA DP',U$S 41.000, Alta Córdoba ,2,1,49
b'HERMOSO DPTO. D',U$S 45.000, San Martin ,2,1,55
b'Depto de CATEGO',U$S 230.000, Nueva Córdoba ,3,2,sin datos
b'Venta- Nueva C\xc3',U$S 189.000, Nueva Córdoba ,3,2,sin datos
b'Caseros 380- Ve',U$S 50.000, Centro ,2,2,sin datos
b'Rodas Chacabuco',consultar, Nueva Córdoba ,2,3,190
b'Rodas Chacabuco',consultar, Nueva Córdoba ,3,3,165
b'Exclusivo Dpto.',consultar, Nueva Córdoba ,2,2,105
b'Dpto. 1 Dormito',U$S 125.000, Nueva Córdoba ,1,1,60
b'a pasos de Ciud',U$S 73.000, Jardín Hipodromo ,3,1,sin datos
b'CENTRO AV COLON',U$S 65.500, Centro ,2,1,sin datos
b'D\xc3\x9aPLEX EN VENT',U$S 110.000, Manantiales ,3,3,150
b'KABAL&#039;S PE',U$S 35.500, Alberdi ,1,1,45
b'Dormitorio + Es',U$S 104.000, Nueva Córdoba ,1,1,44
b'Vendo Nueva Cor',U$S 43.500, Nueva Córdoba ,1,1,sin datos
b'Vendo Departame',U$S 55.000, Jardín ,2,1,sin datos
"b'Nueva Cordoba, '",U$S 160.000, Nueva Córdoba ,2,3,200
b'Oportunidad Nue',U$S 60.000, Nueva Córdoba ,2,1,sin datos
b'DEPARTAMENTO 2 ',U$S 95.000, Nueva Córdoba ,2,2,92
b'Excelente oport',U$S 33.000, San Vicente ,2,1,55
b'Docta. Hermoso ',U$S 80.000, Docta Urbanización Inteligente ,2,2,120
b'Valle escondido',consultar, Valle Escondido ,2,2,100
b'VENTA DEPTO 1 D',U$S 42.000, Observatorio ,1,1,50
b'DEPTO EN VENTA ',U$S 140.000, Centro ,2,2,sin datos
b'DUPLEX EN VENTA',U$S 130.000,sin ubicacion,2,3,sin datos
b'SAN PIERO DEPAR',U$S 170.000,sin ubicacion,2,2,sin datos
b'VENTA DEPARTAME',U$S 35.000, Alberdi ,1,1,sin datos
b'B\xc2\xb0 Gral. Paz d',U$S 60.000, General Paz ,1,1,sin datos
b'PRADOS DE MANAN',U$S 84.000, Manantiales ,3,2,sin datos
b'VENTA- DEPARTAM',U$S 70.000, Nueva Córdoba ,1,1,sin datos
b'Duplex en Venta',U$S 105.000, Manantiales ,3,3,sin datos
b'Miradores de Ma',U$S 125.000, Manantiales ,3,3,sin datos
b'Oportunidad- Ve',U$S 47.000, Nueva Córdoba ,1,1,sin datos
b'Espectacular de',U$S 280.000, Nueva Córdoba ,2,2,sin datos
b'DPTO de CATEGOR',U$S 430.000, Nueva Córdoba ,3,4,sin datos
b'Departamento en',U$S 58.000, Villa Alberdi ,1,1,sin datos
b'OPORTUNIDAD REA',U$S 42.000, Centro ,1,1,sin datos
b'IDEAL PARA ARRA',U$S 27.000, Alberdi ,1,1,sin datos
b'DEPARTAMENTO. E',U$S 300.000, Tejas 1 ,3,2,sin datos
b'Nueva C\xc3\xb3rdoba ',U$S 150.000, Nueva Córdoba ,1,2,72
b'DEPARTAMENTO EN',U$S 220.000, Cañuelas Chicos ,2,2,133
b'INVIERTA EN COF',U$S 70.100, Cofico ,2,2,40
b'ZONA DINO RUTA ',U$S 110.000, San Francisco ,2,2,sin datos
b'AMPLIO DERPARTA',U$S 160.000, Centro ,3,2,150
b'Av Pueyrred\xc3\xb3n7',U$S 42.000, Observatorio ,1,1,42
b'Centro Av Col\xc3\xb3',U$S 72.000, Centro ,2,2,85
b'Departamento / ',U$S 90.000, Alberdi ,2,1,sin datos
b'DPTO VENTA 1 DO',U$S 62.000, Villa Revol ,1,1,50
b'DUPLEX EN VENTA',U$S 180.000, La Luisita ,3,3,sin datos
b'ESPECTACULAR PI',U$S 250.000, Nueva Córdoba ,3,4,sin datos
b'Nueva C\xc3\xb3rdoba ',U$S 139.142, Nueva Córdoba ,1,2,86
b'Nueva C\xc3\xb3rdoba ',U$S 154.000, Nueva Córdoba ,2,3,77
b'DEPARTAMENTO VE',U$S 60.000, General Paz ,1,1,sin datos
b'NUEVA CBA! SAN ',U$S 330.000, Nueva Córdoba ,3,3,327
b'NUEVA CBA! 1 DO',U$S 99.000, Nueva Córdoba ,1,1,77
b'CIUDAD UNIVERSI',U$S 67.000, Nueva Córdoba ,1,1,55
b'COMPLEJO CAPRI ',U$S 270.000, Jockey Club ,3,3,150
b'SAN VICENTE!!! ',U$S 30.000, San Vicente ,1,1,60
b'NUEVA CORDOBA!!',U$S 75.000, Nueva Córdoba ,2,1,60
b'ALTO ALBERDI!!!',U$S 39.999, Alberdi ,1,1,45
b'BETANIA PLAZA A',U$S 84.000, Nueva Córdoba ,1,1,48
b'BETANIA PLAZA D',U$S 130.000, Nueva Córdoba ,2,2,74
b'VTA. 1 DORMITOR',U$S 66.000, Cofico ,1,1,sin datos
b'DUPLEX EN COMPL',U$S 55.000, Padre Claret ,3,2,125
