precio,ubicacion,dorm,ban,sup,precio/m2,sup/ban
55000,Cofico,1,1,60,916.6666666666666,60.0
35000,Jardín,1,1,40,875.0,40.0
45000,Nueva Córdoba,0,1,25,1800.0,25.0
96000,Alto Alberdi,2,1,94,1021.2765957446809,94.0
30000,San Martin,2,1,65,461.53846153846155,65.0
39000,San Martin,2,1,66,590.9090909090909,66.0
47000,Nueva Córdoba,1,1,35,1342.857142857143,35.0
99000,Nueva Córdoba,2,1,60,1650.0,60.0
50948,Docta Urbanización Inteligente,2,2,94,542.0,47.0
91700,Docta Urbanización Inteligente,2,2,94,975.531914893617,47.0
70000,Guemes,1,1,48,1458.3333333333333,48.0
45000,other,2,1,64,703.125,64.0
25000,Centro,1,1,33,757.5757575757576,33.0
35000,Alberdi,1,1,52,673.0769230769231,52.0
42000,Centro,1,1,32,1312.5,32.0
37000,Observatorio,1,1,52,711.5384615384615,52.0
51000,Alberdi,1,1,45,1133.3333333333333,45.0
36000,Alberdi,2,1,60,600.0,60.0
45000,Alberdi,2,1,65,692.3076923076923,65.0
30000,Alberdi,1,1,40,750.0,40.0
40000,Alta Córdoba,1,1,45,888.8888888888889,45.0
200000,Valle Escondido,3,2,100,2000.0,50.0
42000,Alberdi,1,1,54,777.7777777777778,54.0
99000,Nueva Córdoba,2,1,72,1375.0,72.0
48000,General Paz,1,1,50,960.0,50.0
35000,other,3,1,61,573.7704918032787,61.0
25000,Centro,1,1,50,500.0,50.0
94000,Nueva Córdoba,2,2,65,1446.1538461538462,32.5
80000,Nueva Córdoba,2,1,70,1142.857142857143,70.0
54000,Centro,1,1,53,1018.8679245283018,53.0
80000,Nueva Córdoba,2,1,60,1333.3333333333333,60.0
40000,Centro,1,1,40,1000.0,40.0
74000,Nueva Córdoba,1,1,50,1480.0,50.0
45000,Providencia,1,1,60,750.0,60.0
155000,Nueva Córdoba,2,2,89,1741.573033707865,44.5
38000,Alberdi,1,1,43,883.7209302325581,43.0
36000,Nueva Córdoba,1,1,40,900.0,40.0
48000,Nueva Córdoba,1,1,40,1200.0,40.0
120000,Nueva Córdoba,3,2,90,1333.3333333333333,45.0
75000,Nueva Córdoba,2,1,75,1000.0,75.0
55000,Centro,1,1,45,1222.2222222222222,45.0
90000,Nueva Córdoba,2,1,100,900.0,100.0
52000,Guemes,1,1,40,1300.0,40.0
75000,Nueva Córdoba,2,1,60,1250.0,60.0
80000,Nueva Córdoba,1,1,50,1600.0,50.0
63000,Nueva Córdoba,1,1,46,1369.5652173913043,46.0
52000,Nueva Córdoba,1,1,45,1155.5555555555557,45.0
59000,Nueva Córdoba,1,1,50,1180.0,50.0
150000,Nueva Córdoba,2,2,80,1875.0,40.0
73000,Nueva Córdoba,1,1,50,1460.0,50.0
44000,Centro,1,1,40,1100.0,40.0
48000,Nueva Córdoba,1,1,44,1090.909090909091,44.0
160000,Nueva Córdoba,2,2,80,2000.0,40.0
65000,General Paz,1,1,50,1300.0,50.0
30000,Centro,1,1,38,789.4736842105264,38.0
160000,Nueva Córdoba,2,2,90,1777.7777777777778,45.0
33000,Nueva Córdoba,1,1,43,767.4418604651163,43.0
65000,Nueva Córdoba,1,1,50,1300.0,50.0
65000,Nueva Córdoba,1,1,50,1300.0,50.0
60000,Cofico,3,1,80,750.0,80.0
60000,Nueva Córdoba,1,1,50,1200.0,50.0
33000,Nueva Córdoba,1,1,30,1100.0,30.0
